                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.74787,                  1.524,                 1.1508,                0.67807,                0.69282,                0.73576,                0.63005,                0.55342,                 1.0193,                 1.0616,              0.0092773,              0.0092773,              0.0092773
                     75,                0.74886,                 1.5416,                  1.151,                0.68356,                 0.6864,                0.73671,                0.63073,                0.55255,                 1.0157,                 1.0623,              0.0092674,              0.0092674,              0.0092674
                     76,                0.73949,                 1.4987,                 1.1453,                0.71299,                0.67536,                0.74027,                0.63521,                 0.5536,                 1.0051,                 1.0631,              0.0092575,              0.0092575,              0.0092575
                     77,                0.74047,                 1.4883,                 1.1495,                0.69801,                0.69388,                 0.7491,                0.64261,                 0.5528,                0.98443,                 1.0646,              0.0092476,              0.0092476,              0.0092476
                     78,                 0.7329,                 1.4836,                 1.1458,                0.70404,                0.69706,                 0.7512,                0.64278,                0.55479,                0.98383,                 1.0653,              0.0092377,              0.0092377,              0.0092377
                     79,                0.74281,                  1.472,                 1.1469,                0.70652,                0.69964,                0.75439,                0.64731,                0.54896,                0.97215,                 1.0609,              0.0092278,              0.0092278,              0.0092278
                     80,                0.73898,                 1.4647,                 1.1461,                0.70002,                0.69825,                0.74893,                0.64259,                0.55156,                0.97725,                 1.0611,              0.0092179,              0.0092179,              0.0092179
                     81,                0.73914,                  1.475,                 1.1463,                0.71466,                0.69423,                0.74842,                0.64255,                0.54973,                 0.9771,                 1.0615,               0.009208,               0.009208,               0.009208
                     82,                 0.7353,                 1.4565,                  1.139,                0.71247,                0.68774,                0.74952,                0.64404,                0.55151,                0.97928,                 1.0643,              0.0091981,              0.0091981,              0.0091981
                     83,                0.73029,                 1.4543,                 1.1425,                0.71819,                0.68571,                0.74876,                0.64428,                0.54698,                0.97415,                 1.0577,              0.0091882,              0.0091882,              0.0091882
                     84,                0.74339,                 1.4422,                 1.1516,                 0.7121,                0.70563,                0.75598,                0.65004,                 0.5469,                0.96049,                 1.0586,              0.0091783,              0.0091783,              0.0091783
                     85,                0.73515,                 1.4434,                 1.1493,                0.70625,                0.70482,                0.75574,                0.65016,                0.54503,                 0.9571,                 1.0584,              0.0091684,              0.0091684,              0.0091684
                     86,                0.73248,                 1.4332,                 1.1418,                0.70445,                0.71046,                0.75841,                0.65139,                0.54451,                0.95657,                 1.0577,              0.0091585,              0.0091585,              0.0091585
                     87,                0.73082,                 1.4325,                 1.1417,                0.72705,                0.70381,                0.76154,                0.65627,                0.54504,                0.94908,                 1.0586,              0.0091486,              0.0091486,              0.0091486
                     88,                0.73299,                 1.4172,                 1.1428,                0.73959,                0.70283,                0.76383,                0.65683,                0.54438,                0.94464,                  1.057,              0.0091387,              0.0091387,              0.0091387
                     89,                0.73208,                 1.4189,                 1.1437,                0.73744,                0.70157,                0.76691,                0.65984,                0.54216,                  0.939,                 1.0551,              0.0091288,              0.0091288,              0.0091288
                     90,                0.72381,                 1.3942,                 1.1383,                 0.7225,                0.72323,                 0.7683,                0.66065,                0.54307,                   0.93,                 1.0548,              0.0091189,              0.0091189,              0.0091189
                     91,                0.72969,                  1.398,                 1.1397,                0.74439,                0.70443,                 0.7678,                0.66121,                 0.5411,                0.93099,                 1.0537,               0.009109,               0.009109,               0.009109
                     92,                0.73049,                 1.3872,                 1.1355,                0.73198,                0.71072,                0.76591,                0.66057,                0.53629,                0.92868,                 1.0507,              0.0090991,              0.0090991,              0.0090991
                     93,                0.72957,                 1.4092,                 1.1417,                0.71792,                0.71297,                0.76554,                0.66023,                0.53856,                0.93398,                 1.0522,              0.0090892,              0.0090892,              0.0090892
                     94,                0.72461,                 1.3704,                 1.1347,                0.72639,                0.71097,                0.76615,                0.66174,                0.53903,                0.92681,                 1.0518,              0.0090793,              0.0090793,              0.0090793
                     95,                0.72426,                 1.3773,                 1.1396,                0.73279,                0.71194,                 0.7691,                 0.6628,                0.53947,                0.92221,                 1.0531,              0.0090694,              0.0090694,              0.0090694
                     96,                0.71528,                 1.3704,                 1.1339,                0.73276,                0.72315,                0.77514,                0.66935,                0.53917,                0.91567,                 1.0528,              0.0090595,              0.0090595,              0.0090595
                     97,                0.72256,                 1.3541,                 1.1359,                  0.735,                0.72141,                0.77607,                0.66935,                0.53848,                0.91208,                 1.0505,              0.0090496,              0.0090496,              0.0090496
                     98,                0.72402,                 1.3514,                  1.134,                0.72497,                 0.7223,                0.77397,                0.66857,                 0.5389,                0.91344,                 1.0521,              0.0090397,              0.0090397,              0.0090397
